datetime,U,V,W,T,Ufluc,Vfluc,Wfluc,Tfluc,Ubar,Winddir,Cdrag,U*,T*,tau,reystr,H,LE,L,corr(w/u),Hz
2019-03-29 10:50:00+00:00,-0.281,-3.746,0.043,8.232,0.715,0.417,0.128,0.191,3.757,235.7,0.007246,0.32,-0.222,0.128,-0.1023,90.133,-888.88,-32.159183,-0.14086,20.83
2019-03-29 11:00:00+00:00,0.508,-3.749,0.047,7.988,0.703,0.525,0.123,0.156,3.783,247.7,0.006641,0.308,-0.161,0.119,-0.0951,63.044,-888.88,-41.206031,-0.13319,20.83
2019-03-29 11:10:00+00:00,0.242,-3.669,0.03,8.113,0.559,0.452,0.104,0.228,3.678,243.8,0.005615,0.276,-0.222,0.095,-0.0759,77.634,-888.88,-23.885648,-0.1336,20.84
2019-03-29 11:20:00+00:00,1.731,-2.704,0.047,8.166,0.635,0.687,0.108,0.223,3.211,272.6,0.008615,0.298,-0.173,0.111,-0.0888,65.369,-888.88,-35.899463,-0.13786,20.83
2019-03-29 11:30:00+00:00,2.369,-2.454,0.054,7.93,0.46,0.469,0.096,0.081,3.411,284.0,0.007283,0.291,-0.094,0.106,-0.0847,34.683,-888.88,-63.025787,-0.1802,20.83
2019-03-29 11:40:00+00:00,1.427,-2.001,0.054,8.342,0.441,0.417,0.078,0.245,2.459,275.5,0.010899,0.257,-0.259,0.083,-0.0659,84.255,-888.88,-17.784949,-0.14714,20.83
2019-03-29 11:50:00+00:00,1.831,-1.616,0.082,8.448,0.362,0.36,0.064,0.24,2.444,288.6,0.007754,0.215,-0.255,0.058,-0.0463,69.437,-888.88,-12.717654,-0.12599,20.83
2019-03-29 12:00:00+00:00,2.083,-1.699,0.067,8.487,0.319,0.378,0.065,0.168,2.688,290.8,0.006869,0.223,-0.158,0.062,-0.0497,44.617,-888.88,-21.974621,-0.15235,20.83
2019-03-29 12:10:00+00:00,1.408,-1.589,0.043,8.403,0.366,0.417,0.056,0.094,2.124,281.5,0.009329,0.205,-0.128,0.053,-0.0421,33.319,-888.88,-22.952824,-0.11368,20.83
2019-03-29 12:20:00+00:00,1.704,-1.83,0.049,9.086,0.406,0.435,0.067,0.318,2.501,283.0,0.007322,0.214,-0.295,0.057,-0.0458,79.795,-888.88,-10.879286,-0.11115,20.84
2019-03-29 12:30:00+00:00,1.648,-1.839,0.045,9.042,0.398,0.784,0.078,0.225,2.47,281.9,0.006794,0.204,-0.257,0.052,-0.0415,66.073,-888.88,-11.322681,-0.10233,20.83
2019-03-29 12:40:00+00:00,1.588,-1.616,0.035,9.131,0.447,0.519,0.069,0.402,2.266,284.5,0.005668,0.171,-0.464,0.036,-0.0291,99.888,-888.88,-4.402297,-0.06435,20.83
2019-03-29 12:50:00+00:00,1.358,-1.548,0.057,8.919,0.326,0.422,0.058,0.166,2.06,281.3,0.007467,0.178,-0.184,0.04,-0.0317,41.473,-888.88,-12.054604,-0.09568,20.83
2019-03-29 13:00:00+00:00,1.546,-0.961,0.016,9.228,0.259,0.225,0.048,0.211,1.82,298.1,0.00714,0.154,-0.245,0.03,-0.0237,47.535,-888.88,-6.783655,-0.08993,20.83
2019-03-29 13:10:00+00:00,1.717,-0.604,0.031,9.504,0.472,0.3,0.058,0.288,1.82,310.6,0.002785,0.096,-0.656,0.012,-0.0092,79.485,-888.88,-0.987639,-0.0194,20.83
2019-03-29 13:20:00+00:00,0.835,-1.303,0.01,9.589,0.417,0.804,0.059,0.283,1.547,272.6,0.011923,0.169,-0.339,0.036,-0.0285,72.114,-888.88,-5.924733,-0.06779,20.83
